Occupation,Marital Status,Emirate,Country,Gender,support,Coverage,Education,Income
Self-Employed,Married,Dubai,Philipines,,0.010238907849829351,Extended,,
Employed,Divorced,Dubai,Other,F,0.010238907849829351,,,
,Divorced,Dubai,Philipines,F,0.010238907849829351,,High School or Below,
Employed,Divorced,Dubai,Other,,0.010238907849829351,Basic,,
Government,,Dubai,Philipines,F,0.010238907849829351,Basic,,
Self-Employed,Married,Dubai,Philipines,,0.010238907849829351,,High School or Below,
Self-Employed,Married,Sharjah,India,F,0.010238907849829351,,,
Government,Divorced,Dubai,,F,0.010238907849829351,Basic,,
Self-Employed,Married,,,,0.010238907849829351,Premium,Bachelor,0
Employed,Single,Dubai,India,,0.010238907849829351,,High School or Below,
,Married,Dubai,,,0.010238907849829351,Extended,College,35482
Self-Employed,Married,,UAE,F,0.010238907849829351,,Bachelor,
,Married,Dubai,Pakistan,,0.010238907849829351,,College,35482
,Married,Dubai,,F,0.010238907849829351,,College,35482
Employed,Married,Dubai,,,0.010238907849829351,,College,35482
Employed,,,India,F,0.010238907849829351,Extended,High School or Below,
,Married,,Pakistan,,0.010238907849829351,Extended,College,35482
,Married,,,F,0.010238907849829351,Extended,College,35482
Self-Employed,Married,,UAE,,0.010238907849829351,,Bachelor,0
Employed,Married,,,,0.010238907849829351,Extended,College,35482
,Married,,Pakistan,F,0.010238907849829351,,College,35482
,Divorced,Dubai,India,F,0.010238907849829351,,High School or Below,
Employed,Single,,India,F,0.010238907849829351,,High School or Below,
Employed,Married,,Pakistan,,0.010238907849829351,,College,35482
Employed,,Dubai,India,,0.010238907849829351,Extended,High School or Below,
Employed,Married,,,F,0.010238907849829351,,College,35482
,Married,Dubai,Pakistan,,0.010238907849829351,Extended,,35482
Self-Employed,Married,Dubai,India,,0.010238907849829351,,High School or Below,
,,Sharjah,India,F,0.010238907849829351,Basic,,0
Employed,Divorced,Dubai,,F,0.010238907849829351,,High School or Below,
Self-Employed,Married,,Philipines,F,0.010238907849829351,,High School or Below,
Self-Employed,Married,Dubai,,,0.010238907849829351,Premium,Bachelor,
,Single,Dubai,Pakistan,,0.010238907849829351,,High School or Below,0
Self-Employed,Married,,India,,0.010238907849829351,Basic,High School or Below,
,,Dubai,Pakistan,F,0.010238907849829351,,High School or Below,0
,Divorced,Dubai,Pakistan,F,0.010238907849829351,,,0
Self-Employed,Married,,Philipines,,0.010238907849829351,Extended,,0
Self-Employed,Married,,India,,0.010238907849829351,Basic,College,
Self-Employed,Married,Sharjah,,,0.010238907849829351,Extended,,0
Enterpreneur,,Dubai,,F,0.010238907849829351,Basic,High School or Below,
Self-Employed,Married,,Philipines,,0.010238907849829351,,High School or Below,0
,Single,Dubai,Philipines,,0.010238907849829351,Basic,,0
Self-Employed,Married,,Other,F,0.010238907849829351,,,0
Self-Employed,Married,Dubai,India,,0.010238907849829351,,College,
Employed,Divorced,,India,F,0.010238907849829351,,Master,
Self-Employed,Married,,Philipines,F,0.010238907849829351,Extended,,
Self-Employed,Married,Sharjah,,F,0.010238907849829351,Extended,,
,,Dubai,Philipines,,0.010238907849829351,Extended,High School or Below,0
Employed,Divorced,Dubai,Pakistan,,0.010238907849829351,Extended,,
Self-Employed,,Dubai,,F,0.010238907849829351,Premium,High School or Below,
,Single,,Pakistan,,0.010238907849829351,Basic,Bachelor,0
Employed,Married,,China,,0.010238907849829351,Basic,High School or Below,
Employed,,,,F,0.010238907849829351,Extended,College,35482
Employed,,,Pakistan,,0.010238907849829351,Extended,College,35482
,,,Pakistan,F,0.010238907849829351,Extended,College,35482
Employed,,Dubai,,F,0.010238907849829351,,College,35482
Employed,,Dubai,Pakistan,,0.010238907849829351,,College,35482
,,Dubai,Pakistan,F,0.010238907849829351,,College,35482
Employed,,Dubai,,,0.010238907849829351,Extended,College,35482
,,Dubai,,F,0.010238907849829351,Extended,College,35482
,,Dubai,Pakistan,,0.010238907849829351,Extended,College,35482
Enterpreneur,Married,,China,F,0.010238907849829351,Basic,,
Self-Employed,Single,,Pakistan,F,0.010238907849829351,,High School or Below,
,Married,,Other,F,0.010238907849829351,Basic,High School or Below,
,Married,Dubai,UAE,F,0.010238907849829351,,High School or Below,
Self-Employed,Single,,Philipines,F,0.010238907849829351,Basic,,
Employed,Married,,Other,F,0.010238907849829351,Basic,,
Self-Employed,,,Philipines,F,0.010238907849829351,Extended,High School or Below,
Self-Employed,,Sharjah,,F,0.010238907849829351,Basic,,0
Self-Employed,Single,,Pakistan,,0.010238907849829351,,High School or Below,0
Self-Employed,,Dubai,UAE,,0.010238907849829351,Premium,High School or Below,
Self-Employed,,,Pakistan,F,0.010238907849829351,,High School or Below,0
Self-Employed,Divorced,,Pakistan,F,0.010238907849829351,,,0
Self-Employed,,,UAE,,0.010238907849829351,Premium,High School or Below,0
Self-Employed,,,UAE,F,0.010238907849829351,Premium,High School or Below,
Self-Employed,,Dubai,UAE,,0.010238907849829351,,High School or Below,0
Employed,,,Pakistan,F,0.010238907849829351,,College,35482
,,Dubai,Pakistan,F,0.010238907849829351,Extended,,35482
Employed,,Dubai,Pakistan,,0.010238907849829351,Extended,,35482
Employed,,Dubai,,F,0.010238907849829351,Extended,,35482
Government,Married,,India,F,0.010238907849829351,Basic,,
,Single,Dubai,UAE,F,0.010238907849829351,,High School or Below,
Employed,,Dubai,UAE,F,0.010238907849829351,,High School or Below,
Employed,Divorced,Dubai,UAE,F,0.010238907849829351,,,
,,Dubai,UAE,F,0.010238907849829351,,High School or Below,0
,Single,,UAE,F,0.010238907849829351,Premium,High School or Below,
Employed,,,UAE,F,0.010238907849829351,Premium,High School or Below,
Employed,Divorced,,UAE,F,0.010238907849829351,Premium,,
,,,UAE,F,0.010238907849829351,Premium,High School or Below,0
Employed,Married,,India,,0.010238907849829351,Basic,High School or Below,
,Single,Dubai,UAE,,0.010238907849829351,Premium,High School or Below,
Employed,,Dubai,UAE,,0.010238907849829351,Premium,High School or Below,
,Married,,Philipines,F,0.010238907849829351,Extended,,0
,Married,Sharjah,,F,0.010238907849829351,Extended,,0
Employed,Divorced,Dubai,UAE,,0.010238907849829351,Premium,,
,,Dubai,UAE,,0.010238907849829351,Premium,High School or Below,0
,Married,,Philipines,F,0.010238907849829351,,High School or Below,0
Employed,Single,,UAE,F,0.010238907849829351,,Bachelor,
Employed,Single,Dubai,UAE,,0.010238907849829351,,Bachelor,
Employed,Single,,UAE,,0.010238907849829351,Premium,Bachelor,
Employed,Married,,Philipines,,0.010238907849829351,Extended,High School or Below,
Employed,,,Pakistan,F,0.010238907849829351,Extended,,35482
Employed,,Dubai,Pakistan,F,0.010238907849829351,,,35482
Self-Employed,Single,,Philipines,,0.010238907849829351,Basic,,0
Self-Employed,,Dubai,UAE,F,0.010238907849829351,,High School or Below,
Self-Employed,,,UAE,F,0.010238907849829351,,High School or Below,0
Self-Employed,Divorced,,Pakistan,F,0.010238907849829351,,College,
Self-Employed,,Dubai,Other,,0.010238907849829351,,Bachelor,0
Self-Employed,,Dubai,China,,0.010238907849829351,Extended,Bachelor,
Self-Employed,,Dubai,Pakistan,,0.010238907849829351,,High School or Below,0
Self-Employed,,Dubai,Pakistan,,0.010238907849829351,Extended,Bachelor,
Self-Employed,Divorced,Dubai,Pakistan,,0.010238907849829351,,,0
Retired,Married,Dubai,India,,0.010238907849829351,Basic,,
Self-Employed,,Dubai,China,,0.010238907849829351,Basic,Bachelor,
Self-Employed,,Dubai,Other,F,0.010238907849829351,,Bachelor,
Self-Employed,,Dubai,Other,,0.010238907849829351,Basic,Bachelor,
Self-Employed,,,China,,0.010238907849829351,Extended,Bachelor,0
Self-Employed,,,China,,0.010238907849829351,Basic,Bachelor,0
Self-Employed,,,Other,F,0.010238907849829351,,Bachelor,0
Self-Employed,,,Other,,0.010238907849829351,Basic,Bachelor,0
Self-Employed,,,China,F,0.010238907849829351,Extended,Bachelor,
Self-Employed,Single,,Pakistan,,0.010238907849829351,Extended,Bachelor,
Self-Employed,,,China,F,0.010238907849829351,Basic,Bachelor,
Self-Employed,Single,,China,,0.010238907849829351,Basic,Bachelor,
Self-Employed,,,Other,F,0.010238907849829351,Basic,Bachelor,
Self-Employed,Single,,Pakistan,,0.010238907849829351,Basic,Bachelor,
Self-Employed,,Dubai,,,0.010238907849829351,Premium,High School or Below,0
Self-Employed,Single,Dubai,,F,0.010238907849829351,,Master,
Self-Employed,Single,Dubai,,,0.010238907849829351,,Master,0
Self-Employed,,,,F,0.010238907849829351,Premium,High School or Below,0
Self-Employed,,Dubai,Philipines,,0.010238907849829351,Extended,High School or Below,
Self-Employed,Single,,Philipines,,0.010238907849829351,Basic,College,
Self-Employed,,Sharjah,,F,0.010238907849829351,Extended,,0
Self-Employed,Single,,Pakistan,,0.010238907849829351,Extended,College,
Self-Employed,,Dubai,India,,0.010238907849829351,Extended,College,
Self-Employed,Single,Dubai,India,,0.010238907849829351,,College,
Self-Employed,,,Philipines,,0.010238907849829351,Extended,High School or Below,0
Self-Employed,,Dubai,China,,0.010238907849829351,,College,0
Self-Employed,,Dubai,Other,,0.010238907849829351,,College,0
Self-Employed,,Sharjah,India,F,0.010238907849829351,Basic,,
Self-Employed,,Dubai,China,F,0.010238907849829351,,College,
Self-Employed,,Dubai,Other,F,0.010238907849829351,,College,
Self-Employed,,Dubai,Other,,0.010238907849829351,Basic,College,
Self-Employed,Divorced,Dubai,Pakistan,,0.010238907849829351,,College,
Self-Employed,Divorced,,India,F,0.010238907849829351,,,0
Self-Employed,,Sharjah,India,,0.010238907849829351,Basic,,0
Self-Employed,,,India,,0.010238907849829351,Extended,College,0
Self-Employed,,,,F,0.010238907849829351,Basic,Master,0
Self-Employed,Single,,India,,0.010238907849829351,,College,0
Self-Employed,,,India,F,0.010238907849829351,Extended,College,
Self-Employed,Single,,India,F,0.010238907849829351,,College,
Self-Employed,Single,Dubai,Pakistan,,0.010238907849829351,,High School or Below,
Self-Employed,,,China,F,0.010238907849829351,,College,0
Self-Employed,,Dubai,Pakistan,F,0.010238907849829351,,High School or Below,
Self-Employed,Divorced,Dubai,Pakistan,F,0.010238907849829351,,,
Self-Employed,Divorced,,Pakistan,,0.010238907849829351,,College,0
Self-Employed,Single,Dubai,Philipines,,0.010238907849829351,Basic,,
,,Dubai,India,,0.010238907849829351,Extended,College,0
,Single,Dubai,India,,0.010238907849829351,,College,0
,Married,,India,,0.010238907849829351,Basic,High School or Below,0
Enterpreneur,Married,,,F,0.010238907849829351,Basic,College,
,Married,,,F,0.010238907849829351,Premium,Bachelor,0
,Married,Dubai,India,,0.010238907849829351,,Bachelor,0
,Divorced,Dubai,Philipines,,0.010238907849829351,Basic,Bachelor,
Employed,Divorced,Dubai,Philipines,,0.010238907849829351,,Bachelor,
Employed,Single,Dubai,,,0.010238907849829351,Extended,Bachelor,
,Married,Dubai,Other,,0.010238907849829351,Extended,Bachelor,
Employed,Married,Dubai,China,,0.010238907849829351,,Bachelor,
,Divorced,Dubai,Pakistan,,0.010238907849829351,Extended,Bachelor,
Employed,,Dubai,Other,,0.010238907849829351,Extended,Bachelor,
,,Dubai,Other,F,0.010238907849829351,Extended,Bachelor,
,Single,Dubai,China,,0.010238907849829351,Extended,Bachelor,
Employed,,Dubai,China,,0.010238907849829351,Extended,Bachelor,
Employed,Married,,India,,0.010238907849829351,Extended,Bachelor,
,Married,,,F,0.010238907849829351,Basic,Bachelor,0
,,Dubai,Other,,0.010238907849829351,Basic,Bachelor,0
,,Dubai,Other,F,0.010238907849829351,,Bachelor,0
,,Dubai,China,,0.010238907849829351,Basic,Bachelor,0
Employed,Married,,Philipines,,0.010238907849829351,Extended,Bachelor,
,Married,,Other,F,0.010238907849829351,Extended,Bachelor,
Employed,Married,,Other,,0.010238907849829351,Extended,Bachelor,
,,Dubai,Pakistan,,0.010238907849829351,Extended,Bachelor,0
,,Dubai,China,,0.010238907849829351,Extended,Bachelor,0
,Married,,Philipines,F,0.010238907849829351,Basic,Bachelor,
,Married,Dubai,,,0.010238907849829351,Premium,Bachelor,0
,Single,Dubai,China,,0.010238907849829351,Basic,Bachelor,
Employed,Divorced,Dubai,India,,0.010238907849829351,,Bachelor,
Government,Married,,,F,0.010238907849829351,Basic,College,
,,,Other,F,0.010238907849829351,Basic,Bachelor,0
,Single,,China,,0.010238907849829351,Basic,Bachelor,0
,,,China,F,0.010238907849829351,Basic,Bachelor,0
,Married,Dubai,India,,0.010238907849829351,,College,0
,Single,,Pakistan,,0.010238907849829351,Extended,Bachelor,0
,,,China,F,0.010238907849829351,Extended,Bachelor,0
Employed,Divorced,,India,F,0.010238907849829351,,Bachelor,
,Single,,India,F,0.010238907849829351,Extended,Bachelor,
,Divorced,,India,F,0.010238907849829351,Extended,Bachelor,
,Married,Dubai,China,F,0.010238907849829351,,College,
,Married,Dubai,Other,F,0.010238907849829351,,College,
Government,Married,Dubai,,F,0.010238907849829351,,College,
Government,Married,Dubai,,,0.010238907849829351,Basic,College,
Enterpreneur,Married,Dubai,,,0.010238907849829351,Basic,College,
,Married,,India,,0.010238907849829351,Basic,College,0
Government,,Dubai,,F,0.010238907849829351,Basic,Bachelor,
,Single,Dubai,Pakistan,,0.010238907849829351,Basic,Bachelor,
Employed,Married,,Philipines,,0.010238907849829351,Basic,College,
Employed,Divorced,Dubai,Pakistan,,0.010238907849829351,,Bachelor,
,Divorced,Dubai,Pakistan,F,0.010238907849829351,,Bachelor,
,Single,Dubai,Other,,0.010238907849829351,Basic,Bachelor,
Employed,Married,,Pakistan,,0.010238907849829351,Basic,College,
,Single,Dubai,Other,F,0.010238907849829351,,Bachelor,
Employed,Married,,China,F,0.010238907849829351,,Bachelor,
,Single,Dubai,India,,0.010238907849829351,Extended,Bachelor,
,Single,Dubai,India,,0.010238907849829351,Extended,College,
,Married,Dubai,Other,F,0.010238907849829351,,,0
Enterpreneur,,Dubai,Pakistan,F,0.010238907849829351,,College,
,Married,Dubai,,,0.010238907849829351,Basic,High School or Below,0
,Divorced,Dubai,Pakistan,F,0.010238907849829351,,College,
Employed,,Dubai,Other,F,0.010238907849829351,,College,
,Single,Dubai,China,,0.010238907849829351,Basic,College,
,Single,Dubai,China,F,0.010238907849829351,,College,
Enterpreneur,Married,Dubai,China,F,0.010238907849829351,,,
Enterpreneur,Married,Dubai,China,,0.010238907849829351,Basic,,
,Married,Dubai,Other,F,0.010238907849829351,,High School or Below,
,Divorced,Dubai,,F,0.010238907849829351,Extended,College,
,Single,Dubai,Pakistan,,0.010238907849829351,Extended,College,
,Married,Dubai,Other,,0.010238907849829351,Basic,High School or Below,
Employed,Married,Dubai,Other,,0.010238907849829351,Basic,,
,,Dubai,China,F,0.010238907849829351,Extended,College,
,Divorced,Dubai,Pakistan,,0.010238907849829351,,College,0
,,Dubai,Other,,0.010238907849829351,Basic,College,0
,,Dubai,Other,F,0.010238907849829351,,College,0
,,Dubai,China,F,0.010238907849829351,,College,0
,Married,,Pakistan,,0.010238907849829351,Extended,Master,0
,Married,,Pakistan,F,0.010238907849829351,,Master,0
,Married,,Pakistan,F,0.010238907849829351,Extended,Master,
,Married,,Pakistan,F,0.010238907849829351,Basic,Master,
,Married,Sharjah,India,F,0.010238907849829351,,,0
,Married,Dubai,Pakistan,F,0.010238907849829351,,,0
,Married,Dubai,Philipines,,0.010238907849829351,Basic,,0
,Married,Dubai,,F,0.010238907849829351,Premium,High School or Below,
Enterpreneur,,Dubai,Pakistan,,0.010238907849829351,Basic,College,
,Divorced,Dubai,India,,0.010238907849829351,Extended,Bachelor,
,Married,Dubai,,F,0.010238907849829351,,Master,0
Employed,Single,,,F,0.010238907849829351,Premium,Bachelor,
Employed,Single,Dubai,,,0.010238907849829351,Premium,Bachelor,
,Married,Dubai,Pakistan,,0.010238907849829351,Basic,Master,
Employed,Divorced,,,F,0.010238907849829351,Basic,College,
Enterpreneur,,,Pakistan,F,0.010238907849829351,Basic,College,
Employed,Married,Dubai,,F,0.010238907849829351,,Master,
,Single,,China,F,0.010238907849829351,Basic,College,
,Single,,Pakistan,F,0.010238907849829351,Extended,College,
,Married,Dubai,India,,0.010238907849829351,,High School or Below,0
,Married,Dubai,India,,0.010238907849829351,Basic,,0
,Divorced,,Pakistan,F,0.010238907849829351,,College,0
,Single,,Philipines,,0.010238907849829351,Basic,College,0
,Single,,Pakistan,,0.010238907849829351,Extended,College,0
Government,Married,Dubai,India,,0.010238907849829351,Basic,,
,Single,,India,F,0.010238907849829351,Extended,College,
,Single,,India,F,0.010238907849829351,,College,0
,,,India,F,0.010238907849829351,Extended,College,0
,Married,Dubai,Philipines,,0.010238907849829351,Extended,,0
Employed,Divorced,Dubai,,,0.010238907849829351,Basic,College,
,Married,Dubai,Philipines,,0.010238907849829351,,High School or Below,0
Government,,Dubai,,F,0.010238907849829351,Basic,College,
Retired,Married,Dubai,India,F,0.010238907849829351,,,
